hovering,0,0,0,-10,25,40,15,-10,25,40,15,0,10,7,0,0,0,0,10,7,0,0,0
flight30,0,0,0,-40.7,11.3,26.5,58.3,-40.7,11.3,26.5,58.3,0,10,7,0,0,0,0,10,7,0,0,0
flight50,0,0,0,-31.3,19,26.3,45.3,-31.3,19,26.3,45.3,0,10,7,0,0,0,0,10,7,0,0,0
flight60,0,0,0,-25,24,30,35,-25,24,30,35,0,10,7,0,0,0,0,10,7,0,0,0
Config1,-4.3,4.1,-26.3,-11.3,20.9,46.4,13.5,-11.8,40.6,30.1,25.3,-4.6,25.4,-15.7,-0.5,0,0,-9.6,42.1,-6.2,-32.3,0,0
Config2,10,-6.9,-33.3,-12.7,85.2,40.9,67.9,-53.7,104.3,4.7,64.3,9.6,10.6,-16.5,-46.7,0,0,-5,28,7.2,-1.4,0,0
Config3,-3.8,-8.4,-14.7,-12.5,114.5,-16.9,59.1,-66.9,101,63.7,38.7,-12.5,40.3,-3.4,-3,0,0,-7,44.4,17.5,-32.7,0,0
Config4,33.8,-2,-12.8,-63.5,66.1,20.3,67.9,-10.6,109.1,-7.4,67.9,19.3,34.5,-19.1,-49.1,0,0,-15.1,32.8,5.8,-5.7,0,0
Config5,40.9,-3.2,10.8,-17.5,89.9,2,23.8,-18.3,64.7,32,64.9,-7.1,31.7,21.3,-15.8,0,0,-11.2,13.3,3.8,-27.3,0,0
Config6,8.1,-5.9,32,-34.9,19.7,22.3,67.9,-14.8,81.4,27.7,53.1,-14.9,35.2,34,-10.8,0,0,17.9,27.3,5.8,-29.3,0,0
Config7,29.2,2.4,30.5,-54.8,121.1,8.7,67.9,-20.6,121.7,7.6,24.7,24.1,12.6,-32.9,-23.3,0,0,36.5,5.3,0.8,-39.1,0,0
Config8,4.5,10.2,-2.9,-64.1,69.2,10.2,53.6,-38.5,56.8,-14.9,67.9,2.5,24.9,2.5,-5.7,0,0,4.2,13.1,-28.9,-43.7,0,0
Config9,19.4,-3.2,-18.2,-6.1,87,-11.4,43.7,-40.6,12.3,-25.7,31.1,20.5,22.7,-28.9,-5,0,0,6.1,28.2,15.4,-34.6,0,0
Config10,38.4,-3,18.5,-58.8,11.4,-4.5,30.5,-6.7,110.9,10.7,67.9,4.6,20.3,21.1,-18.7,0,0,39.1,20.2,34.7,-13.7,0,0
